,SetID,Number,Variant,ThemeGroup,Theme,Year,Name,Minifigs,Pieces,Image,ImageFilename
12930,9845,850501,1,Miscellaneous,Gear,2012,I (love) Orlando figure magnet,,,True,850501-1
12931,9840,850502,1,Miscellaneous,Gear,2012,I (love) Anaheim Figure Magnet,,,True,850502-1
12932,10132,850503,1,Miscellaneous,Seasonal,2012,Holiday Bauble,,3.0,True,850503-1
12933,9820,850506,1,Miscellaneous,Gear,2012,Card Making Kit,,,True,850506-1
12934,9831,850507,1,Miscellaneous,Gear,2012,Spider-Man Key Chain,,,True,850507-1
12935,10174,850508 ,1,Miscellaneous,Gear,2012,Marvel Super Heroes magnets,,,False,
12936,10142,850510,1,Miscellaneous,Gear,2012,Holiday Wrapping Paper,,,True,850510-1
12937,9832,850514,1,Miscellaneous,Gear,2012,Mordor Orc Key Chain,,,True,850514-1
12938,9833,850515,1,Miscellaneous,Gear,2012,Gandalf the Grey Key Chain,,,True,850515-1
12939,9834,850516,1,Miscellaneous,Gear,2012,Gimli Key Chain,,,True,850516-1
12940,9835,850517,1,Miscellaneous,Gear,2012,Lord of the Rings Magnet Set,,,True,850517-1
12941,9836,850529,1,Miscellaneous,Gear,2012,Loki Key Chain,,,True,850529-1
12942,10364,850581,1,Girls,Friends,2013,Friends Brick Calendar,,140.0,True,850581-1
12943,22604,850591,1,Girls,Friends,2013,Friends Name Sign,,,True,850591-1
12944,23601,850595,1,Miscellaneous,Gear,2014,Friends Notebook,,,True,850595-1
12945,10247,850596,1,Miscellaneous,Gear,2012,Heartlake City Playmat,,,True,850596-1
12946,22592,850597,1,Miscellaneous,Gear,2013,Friends Carry Case,,,True,850597-1
12947,22599,850598,1,Miscellaneous,Gear,2013,Game Cards Binder,,,True,850598-1
12948,22595,850602,1,Miscellaneous,Gear,2013,Chima Cragger Key Chain,,,True,850602-1
12949,2056,850606,1,Racing,Racers,2004,Hazard Kit,,35.0,True,4243532-1
12950,22605,850607,1,Miscellaneous,Gear,2013,Eris Key Chain,,,True,850607-1
12951,22600,850608,1,Miscellaneous,Gear,2013,Chima Laval Key Chain,,,True,850608-1
12952,22593,850609,1,Miscellaneous,Gear,2013,Worriz Laval Key Chain,,,True,850609-1
12953,10234,850611,1,Miscellaneous,Gear,2013,Cragger's Shield,,,True,850611-1
12954,10235,850612,1,Miscellaneous,Gear,2013,Cragger Sword,,,True,850612-1
12955,10236,850614,1,Miscellaneous,Gear,2013,Laval's Shield,,,True,850614-1
12956,10237,850615,1,Miscellaneous,Gear,2013,Laval Sword,,,True,850615-1
12957,22580,850617,1,Modern day,City,2013,Police Accessory Pack,4.0,34.0,True,850617-1
12958,22579,850618,1,Modern day,City,2013,Fire Accessory Pack,4.0,43.0,True,850618-1
12959,22601,850622,1,Miscellaneous,Gear,2013,Golden Ninja Key Chain,,,True,850622-1
12960,22596,850628,1,Miscellaneous,Gear,2013,Samurai Sword and Sheath,,,True,850628-1
12961,22584,850632,1,Action/Adventure,Ninjago,2013,Samurai Accessory Set,4.0,36.0,True,850632-1
12962,22597,850634,1,Miscellaneous,Gear,2013,R2-D2,,,True,850634-1
12963,22741,850635,1,Miscellaneous,Gear,2013,Darth Vader Magnet,,,True,850635-1
12964,22790,850636,1,Miscellaneous,Gear,2013,Luke Skywalker Magnet,,,True,850636-1
12965,22782,850637,1,Miscellaneous,Gear,2013,Princess Leia Magnet,,,True,850637-1
12966,22789,850638,1,Miscellaneous,Gear,2013,Han Solo Magnet,,,True,850638-1
12967,22742,850639,1,Miscellaneous,Gear,2013,Chewbacca Magnet,,,True,850639-1
12968,22794,850640,1,Miscellaneous,Gear,2013,Obi-Wan Kenobi Magnet,,,True,850640-1
