,SetID,Number,Variant,ThemeGroup,Theme,Year,Name,Minifigs,Pieces,Image,ImageFilename
1476,202,1250,1,Modern day,Town,1999,Dragster,1.0,25.0,True,1250-1
1478,203,1251,1,Modern day,Town,1999,Go-Cart,1.0,26.0,True,1251-1
1480,204,1252,1,Modern day,Town,1999,Shell Tanker,1.0,107.0,True,1252-1
1482,205,1253,1,Modern day,Town,1999,Shell Race Car Transporter,1.0,102.0,True,1253-1
1484,206,1254,1,Modern day,Town,1999,Shell Convenience Store,3.0,159.0,True,1254-1
1486,207,1255,1,Modern day,Town,1999,Shell Car Wash,2.0,137.0,True,1255-1
1488,208,1256,1,Modern day,Town,1999,Shell Service Station,2.0,144.0,True,1256-1
1490,209,1257,1,Technical,Technic,1999,Tricycle,,24.0,True,1257-1
1492,210,1258,1,Technical,Technic,1999,Buggy,,29.0,True,1258-1
1493,211,1259,1,Technical,Technic,1999,Motorbike,,28.0,True,1259-1
1494,212,1260,1,Technical,Technic,1999,Car,,26.0,True,1260-1
1496,213,1261,1,Pre-school,Duplo,2000,Tea With Bumble Bee,2.0,10.0,True,1261-1
1498,214,1263,1,Miscellaneous,Seasonal,2000,Easter Bunny,,27.0,True,1263-1
1499,215,1264,1,Miscellaneous,Seasonal,2000,Easter Chicks,,26.0,True,1264-1
1500,216,1265,1,Modern day,Town,1999,Moon Buggy,1.0,25.0,True,1265-1
1501,217,1266,1,Modern day,Town,1999,Space Probe,1.0,23.0,True,1266-1
1502,218,1268,1,Technical,Technic,1999,Bike Blaster,,28.0,True,1268-1
1503,219,1269,1,Historical,Castle,1999,White Ninja,1.0,23.0,True,1269-1
1505,9634,1270,2,Model making,Creator,2005,Trial Size Bag (Chromika Promotion),,16.0,True,1270-2
1506,26815,1270,3,Model making,Creator,1995,Trial Size Bag (Coloraction promotion),,15.0,True,1270-3
1507,220,1271,1,Historical,Adventurers,1999,Jungle Surprise,1.0,33.0,True,1271-1
1509,221,1272,1,Modern day,Town,2000,Blue Racer,1.0,23.0,True,1272-1
1510,222,1273,1,Modern day,Town,2000,Red Four Wheel Driver,1.0,20.0,True,1273-1
1511,223,1274,1,Action/Adventure,Rock Raiders,1999,Light Hover,1.0,25.0,True,1274-1
1512,224,1275,1,Action/Adventure,Rock Raiders,1999,Chainsaw Bulldozer,1.0,22.0,True,1275-1
1513,225,1276,1,Action/Adventure,Rock Raiders,1999,Helicopter Transport,1.0,22.0,True,1276-1
1514,226,1277,1,Action/Adventure,Rock Raiders,1999,Drill Craft,1.0,27.0,True,1277-1
1515,227,1278,1,Historical,Adventurers,2000,Jones and Baby Tyranno,1.0,23.0,True,1278-1
1516,228,1279,1,Historical,Adventurers,2000,Cunningham's Dinofinder,1.0,21.0,True,1279-1
1517,230,1280,1,Historical,Adventurers,2000,Dr. Kilroy's Microcopter,1.0,28.0,True,1280-1
1518,231,1281,1,Historical,Adventurers,2000,Mike's Dinohunter,1.0,24.0,True,1281-1
1519,232,1282,1,Modern day,Town,2000,Blue Racer,1.0,23.0,True,1282-1
1520,233,1283,1,Modern day,Town,2000,Red Four Wheel Driver,1.0,20.0,True,1283-1
1521,234,1284,1,Modern day,Town,2000,Green Buggy,1.0,23.0,True,1284-1
1522,235,1285,1,Modern day,Town,2000,Yellow Tiger,1.0,23.0,True,1285-1
1523,236,1286,1,Historical,Castle,2000,King Leo's Spear Cart,1.0,22.0,True,1286-1
1524,237,1287,1,Historical,Castle,2000,Richard's Arrowseat,1.0,15.0,True,1287-1
1525,238,1288,1,Historical,Castle,2000,Bull's Fire Attacker,1.0,24.0,True,1288-1
1526,239,1289,1,Historical,Castle,2000,Weezil's Stone Bomber,1.0,22.0,True,1289-1
1527,240,1290,1,Technical,Technic,2000,Lava Buggy,,35.0,True,1290-1
1528,241,1291,1,Technical,Technic,2000,Power Bike,,32.0,True,1291-1
1529,242,1292,1,Technical,Technic,2000,Frost Flyer,,33.0,True,1292-1
1530,243,1293,1,Technical,Technic,2000,Swamp Craft,,25.0,True,1293-1
1531,244,1294,1,Modern day,Town,2000,Fire Helicopter,1.0,31.0,True,1294-1
1532,245,1295,1,Modern day,Town,2000,Water Rider,1.0,30.0,True,1295-1
1533,246,1296,1,Modern day,Town,2000,Land Scooper,1.0,30.0,True,1296-1
1534,247,1297,1,Modern day,Town,2000,Speed Patroller,1.0,34.0,True,1297-1
1535,248,1298,1,Basic,Classic,1998,Advent Calendar,,158.0,True,1298-1
1543,23553,1343,1,Miscellaneous,Service Packs,1986,Optosensors (4.5V) and Discs,,4.0,True,1343-1
1544,23552,1346,1,Miscellaneous,Service Packs,1987,"Touch Sensors, 4.5V",,2.0,True,1346-1
1545,253,1349,1,Modern day,Studios,2000,Steven Spielberg Moviemaker Set,7.0,442.0,True,1349-1
1546,254,1351,1,Modern day,Studios,2001,Movie Backdrop Studio,3.0,211.0,True,1351-1
1547,255,1352,1,Modern day,Studios,2001,Explosion Studio,4.0,233.0,True,1352-1
1548,256,1353,1,Modern day,Studios,2001,Car Stunt Studio,2.0,166.0,True,1353-1
1549,257,1354,1,Modern day,Studios,2001,Dino Head Attack,2.0,94.0,True,1354-1
1550,258,1355,1,Modern day,Studios,2001,Temple of Gloom,2.0,58.0,True,1355-1
1551,259,1356,1,Modern day,Studios,2001,Stuntman Catapult,2.0,29.0,True,1356-1
1552,260,1357,1,Modern day,Studios,2001,Cameraman,1.0,21.0,True,1357-1
1553,10022,1359,1,Miscellaneous,Promotional,2002,Audi TT Roadster ,,57.0,True,AUDITT-1
1554,262,1360,1,Modern day,Studios,2001,Director's Copter,1.0,22.0,True,1360-1
1555,263,1361,1,Modern day,Studios,2001,Camera Car,1.0,20.0,True,1361-1
1556,264,1362,1,Modern day,Studios,2001,Air Boat,1.0,24.0,True,1362-1
1557,265,1363,1,Modern day,Studios,2001,Stunt Go-Cart,1.0,25.0,True,1363-1
1558,267,1370,1,Modern day,Studios,2001,Raptor Rumble,3.0,157.0,True,1370-1
1559,268,1371,1,Modern day,Studios,2001,Spinosaurus Attack,2.0,155.0,True,1371-1
1560,269,1374,1,Modern day,Studios,2002,Green Goblin,2.0,58.0,True,1374-1
1561,270,1375,1,Modern day,Studios,2002,Wrestling Scene,,,True,1375-1
1562,271,1376,1,Modern day,Studios,2002,Spider-Man Action Studio,5.0,248.0,True,1376-1
1563,272,1380,1,Modern day,Studios,2002,Werewolf Ambush,3.0,117.0,True,1380-1
1564,273,1381,1,Modern day,Studios,2002,Vampire's Crypt,4.0,176.0,True,1381-1
1565,274,1382,1,Modern day,Studios,2002,Scary Laboratory,6.0,493.0,True,1382-1
1566,275,1383,1,Modern day,Studios,2002,Curse of the Pharaoh,2.0,50.0,True,1383-1
1567,276,1384,1,Pre-school,Explore,2002,Bird,,6.0,True,1384-1
1568,277,1385,1,Girls,Clikits,2003,Clikits Bracelet,,13.0,True,1385-1
1569,278,1386,1,Girls,Clikits,2004,Jewelry Sample,,16.0,True,1386-1
1570,279,1388,1,Constraction,Bionicle,2001,Huki,,8.0,True,1388-1
1571,280,1389,1,Constraction,Bionicle,2001,Onepu,,8.0,True,1389-1
1572,281,1390,1,Constraction,Bionicle,2001,Maku,,8.0,True,1390-1
1573,282,1391,1,Constraction,Bionicle,2001,Jala,,8.0,True,1391-1
1574,283,1392,1,Constraction,Bionicle,2001,Kongu,,8.0,True,1392-1
1575,284,1393,1,Constraction,Bionicle,2001,Matoro,,8.0,True,1393-1
1576,29579,1400,1,Basic,Basic,1986,Basic Box,2.0,166.0,False,
1577,286,1403,1,Pre-school,Duplo,2001,Racing Leopard,1.0,2.0,True,1403-1
1578,287,1404,1,Pre-school,Duplo,2001,Racing Tiger,1.0,2.0,True,1404-1
1579,288,1405,1,Pre-school,Duplo,2001,Racing Lion,1.0,2.0,True,1405-1
1580,289,1406,1,Pre-school,Duplo,2001,Nursing the Baby,1.0,5.0,True,1406-1
1581,290,1407,1,Pre-school,Duplo,2001,Cooking with Mummy,1.0,6.0,True,1407-1
1582,291,1408,1,Pre-school,Duplo,2001,Walking the dog with Daddy,1.0,4.0,True,1408-1
1583,292,1411,1,Modern day,Studios,2001,Pirates Treasure Hunt,4.0,31.0,True,1411-1
1584,293,1413,1,Action/Adventure,Space,2001,Rover,1.0,29.0,True,1413-1
1585,294,1414,1,Action/Adventure,Space,2001,Double Hover,1.0,21.0,True,1414-1
1586,295,1415,1,Action/Adventure,Space,2001,Jet Scooter,1.0,24.0,True,1415-1
1587,296,1416,1,Action/Adventure,Space,2001,Worker Robot,1.0,30.0,True,1416-1
1588,297,1417,1,Constraction,Bionicle,2001,Vakama,,28.0,True,1417-1
1589,298,1418,1,Constraction,Bionicle,2001,Matau,,26.0,True,1418-1
1590,299,1419,1,Constraction,Bionicle,2001,Nokama,,27.0,True,1419-1
1591,300,1420,1,Constraction,Bionicle,2001,Nuju,,29.0,True,1420-1
1592,301,1421,1,Modern day,Studios,2001,Director's Copter,1.0,22.0,True,1421-1
1593,302,1422,1,Modern day,Studios,2001,Camera Cart,1.0,20.0,True,1422-1
1594,303,1423,1,Modern day,Studios,2001,Air Boat,1.0,24.0,True,1423-1
1595,304,1424,1,Modern day,Studios,2001,Stunt Go-Kart,1.0,25.0,True,1424-1
1596,305,1425,1,Action/Adventure,Alpha Team,2002,Alpha Team Jet Sub,1.0,22.0,True,1425-1
1597,306,1426,1,Action/Adventure,Alpha Team,2002,Alpha Team Wing Diver,1.0,21.0,True,1426-1
1598,307,1427,1,Action/Adventure,Alpha Team,2002,Ogel Underwater Slizer,1.0,21.0,True,1427-1
1599,308,1428,1,Modern day,Sports,2002,Kick 'n' Score,1.0,24.0,True,1428-1
1600,309,1429,1,Modern day,Sports,2002,Goalkeeper Training,1.0,23.0,True,1429-1
1601,310,1430,1,Modern day,Sports,2002,Precision Training,1.0,16.0,True,1430-1
1602,311,1431,1,Constraction,Bionicle,2003,Tahnok Va,,27.0,True,1431-1
1603,312,1432,1,Constraction,Bionicle,2003,Nuhvok Va,,26.0,True,1432-1
1604,313,1433,1,Constraction,Bionicle,2003,Gahlok Va,,26.0,True,1433-1
1605,314,1434,1,Constraction,Bionicle,2003,Lehvak Va,,25.0,True,1434-1
1606,6944,1435,1,Junior,Jack Stone,2002,Super Glider,1.0,6.0,True,1435-1
1607,6598,1436,1,Junior,Jack Stone,2002,Ultralight Flyer,1.0,15.0,True,1436-1
1608,6599,1437,1,Junior,Jack Stone,2002,Turbo Chopper,1.0,12.0,True,1437-1
1609,315,1441,1,Constraction,Bionicle,2003,Fikou,,13.0,True,1441-1
1610,316,1450,1,Pre-school,Duplo,2000,DUPLO Bucket,,50.0,True,1450-1
1611,22441,1452,1,Pre-school,Baby,2001,Flower,,1.0,False,
1612,22442,1453,1,Pre-school,Baby,2001,Butterfly,,,False,
1613,22443,1454,1,Pre-school,Baby,2001,Stack-n-Learn,,3.0,True,1454-1
1614,323,1456,1,Pre-school,Baby,2001,Squirt Frog,,1.0,False,
1615,326,1457,1,Pre-school,Baby,2001,Caterpillar,,3.0,True,1457-1
1616,22619,1460,1,Educational,Dacta,1987,Pre-school activities with LEGO bricks,,,True,1460-1
1617,328,1461,1,Modern day,Town,1992,Turbo Force,1.0,31.0,True,1461-1
1618,329,1462,1,Action/Adventure,Space,1992,Galactic Scout,1.0,23.0,True,1462-1
1619,330,1463,1,Historical,Castle,1992,Treasure Cart,1.0,23.0,True,1463-1
1620,331,1464,1,Historical,Pirates,1992,Pirate Lookout,1.0,17.0,True,1464-1
1621,333,1467,1,Modern day,Town,1987,Race Car,1.0,46.0,True,1467-1
1622,334,1468,1,Modern day,Town,1987,Petrol Tanker,1.0,40.0,True,1468-1
1623,339,1469,1,Modern day,Town,1987,Helicopter,,40.0,True,1469-1
1624,341,1470,1,Modern day,Town,1987,Petrol Pumps and Garage Staff,2.0,32.0,True,1470-1
1625,342,1472,1,Modern day,Town,1987,Vacation House,4.0,353.0,True,1472-1
1626,22427,1473,1,Pre-school,Duplo,1987,Combi Pack,,,False,
1627,9412,1474,1,Basic,Basic,1991,Basic Building Set with Gift Item,1.0,69.0,False,
1628,343,1475,1,Modern day,Town,1991,Airport Security Squad,2.0,123.0,True,1475-1
1629,344,1476,1,Miscellaneous,Assorted,1991,Five Set Bonus Pack,,158.0,True,1476-1
1630,349,1477,1,Modern day,Town,1991,Red Race Car Number 3,1.0,39.0,True,1477-1
1631,350,1478,1,Action/Adventure,Space,1991,Mobile Satellite Up-Link,1.0,31.0,True,1478-1
1632,351,1479,1,Action/Adventure,Space,1991,Two-Pilot Craft,2.0,34.0,True,1479-1
1633,353,1480,1,Historical,Castle,1991,King's Catapult,1.0,33.0,True,1480-1
1634,354,1481,1,Historical,Pirates,1991,Pirates Desert Island,1.0,21.0,True,1481-1
1635,10102,1482,1,Pre-school,Duplo,1990,Panda and Friends,,26.0,False,
1636,10113,1483,1,Pre-school,Duplo,1991,Sailor and Parrot,,19.0,False,
1637,355,1484,1,Modern day,Town,1987,Houses,2.0,197.0,True,1484-1
1638,22428,1488,1,Pre-school,Duplo,1987,Building Set,,,False,
1639,356,1489,1,Modern day,Town,1989,Mobile Car Crane,2.0,174.0,True,1489-1
1640,357,1490,1,Modern day,Town,1988,Town Bank,3.0,187.0,True,1490-1
1641,358,1491,1,Historical,Castle,1992,Dual Defender,2.0,48.0,True,1491-1
1642,359,1492,1,Historical,Pirates,1992,Battle Cove,1.0,26.0,True,1492-1
1643,9409,1495,1,Basic,Basic,1988,Basic Building Set Trial Size,,26.0,True,1495-1
1644,360,1496,1,Modern day,Town,1987,Rally Car,1.0,52.0,True,1496-1
1645,361,1497,1,Modern day,Town,1987,Pitstop and Crew,2.0,124.0,True,1497-1
1646,362,1498,1,Action/Adventure,Space,1987,Spy-Bot,,62.0,True,1498-1
1647,363,1499,1,Action/Adventure,Space,1987,Twin Starfire,2.0,89.0,True,1499-1
1648,29633,1500,1,Pre-school,Duplo,1988,Oval Bricks,,,False,
1649,5001,1501,1,Pre-school,Duplo,1987,Yellow Bucket,,68.0,True,1501-1
1650,364,1502,1,Modern day,Town,1987,Two Pick Set,,176.0,False,
1651,9767,1503,1,Pre-school,Duplo,1986,Car Building Set,1.0,7.0,False,
1652,6318,1504,1,Basic,Basic,1993,"Family Bucket, 3+",,,True,1504-1
1653,9768,1504,2,Pre-school,Duplo,1986,House Building Set,1.0,13.0,False,
1654,9766,1505,1,Pre-school,Duplo,1986,House and Car Building Sets,,20.0,True,1505-1
1655,365,1506,1,Modern day,Town,1986,Town Value Pack,,100.0,True,1506-1
1656,366,1507,1,Action/Adventure,Space,1986,Special Two-Set Space Pack,,96.0,True,1507-1
1657,367,1509,1,Modern day,Town,1987,Town Value Pack,,176.0,True,1509-1
1658,368,1510,1,Action/Adventure,Space,1987,Special Two-Set Space Pack,,151.0,True,1510-1
1659,23445,1511,1,Basic,Basic,1986,Basic Building Set,1.0,,False,
1661,9402,1512,2,Basic,Basic,1985,Basic Set with Storage Case,1.0,99.0,False,
1663,6941,1513,2,Basic,Basic,1989,Universal Building Set,1.0,66.0,True,1513-2
1664,9408,1514,1,Basic,Basic,1988,Basic Building Set Trial Size,,46.0,True,1514-1
1665,369,1515,1,Miscellaneous,Gear,2000,Classic Pen Series 1,,,True,1515-1
1666,370,1515,2,Modern day,Town,1989,Town Value Pack,,105.0,True,1515-2
1667,372,1516,1,Junior,Fabuland,1987,Promotional Set,2.0,23.0,True,1516-1
1668,371,1516,2,Miscellaneous,Gear,2000,Decoder Pen Series 1,,,True,1516-2
1669,373,1517,1,Modern day,Town,1989,Black Racing Car,1.0,32.0,True,1517-1
1670,374,1517,2,Miscellaneous,Gear,2000,Hieroglyph Pen Series 1,,,True,1517-2
1671,375,1518,1,Modern day,Town,1989,Racing Service Crew,2.0,73.0,True,1518-1
1672,376,1518,2,Miscellaneous,Gear,2000,Race Pen Series 1,,,True,1518-2
1673,377,1519,1,Miscellaneous,Gear,2000,Sport Pen Series 1,,,False,
1674,6183,1520,1,Basic,Basic,1985,Basic Building Set with Storage Case,1.0,210.0,True,1520-1
1675,378,1520,2,Miscellaneous,Gear,2000,Adventure Pen Series 1,,,True,1520-2
1676,9411,1521,1,Basic,Basic,1989,Basic Building Set Trial Size,,24.0,False,
1677,379,1522,1,Miscellaneous,Gear,2000,Soccer Pen Series 2,,,False,
1678,9410,1522,2,Basic,Basic,1989,Basic Building Set Trial Size,,44.0,False,
1679,380,1523,1,Miscellaneous,Gear,2000,Arctic Pen Series 2,,,True,1523-1
1680,10231,1523,2,Basic,Basic,1986,Basic Building Set,,27.0,False,
1681,381,1524,1,Miscellaneous,Gear,2000,Dino Island Pen Series 2,1.0,,True,1524-1
1682,382,1524,2,Basic,Basic,1986,Basic Building Set,,38.0,False,
1683,383,1525,1,Modern day,Town,1986,LEGO Container Lorry,1.0,154.0,True,1525-1
1684,384,1525,2,Miscellaneous,Gear,2000,World Pen Series 2,,,True,1525-2
1685,385,1526,1,Action/Adventure,Space,1986, Unknown,,104.0,True,1526-1
1686,386,1528,1,Modern day,Town,1986,Dragster,1.0,21.0,True,1528-1
1687,387,1528,2,Miscellaneous,Gear,2001,Pen Baseball,,,True,1528-2
1688,388,1529,1,Miscellaneous,Gear,2001,Pen Basketball,,,True,1529-1
1689,22429,1529,2,Pre-school,Duplo,1987,Rattle,,1.0,False,
1690,389,1530,1,Miscellaneous,Gear,2001,Pen Football,,,True,1530-1
1691,5383,1530,2,Action/Adventure,Space,1988,Space Value Pack,,91.0,True,1530-2
1692,390,1532,1,Miscellaneous,Gear,2001,Pen Aquazone,,,True,1532-1
1693,391,1533,1,Miscellaneous,Gear,2001,Pen Mini Figure Faces,,,True,1533-1
1694,392,1534,1,Miscellaneous,Gear,2001,Pen Legoland,,,True,1534-1
1695,393,1535,1,Miscellaneous,Gear,2001,Pen Knights' Kingdom,,,True,1535-1
1696,394,1537,1,Miscellaneous,Gear,2001,Pen Dream Star,,,True,1537-1
1697,22561,1537,2,Pre-school,Duplo,1985,Rattle Round with Ball,,,False,
1698,395,1538,1,Miscellaneous,Gear,2001,Pen Safari,,,True,1538-1
1699,22562,1538,2,Pre-school,Duplo,1985,Building Bricks,,10.0,False,
1700,396,1539,1,Miscellaneous,Gear,2001,Pen Classic II,,,True,1539-1
1701,22563,1539,2,Pre-school,Duplo,1985,Building Bricks with Figure,,10.0,False,
1702,22488,1540,1,Pre-school,Duplo,1993,Betsy's Bedroom,1.0,39.0,True,1540-1
1703,398,1542,1,Miscellaneous,Gear,2002,Pen Jack Stone,,,True,1542-1
1704,399,1543,1,Miscellaneous,Gear,2002,Pen Belville,,,True,1543-1
1705,400,1544,1,Pre-school,Duplo,1988,Duplo Building Set,2.0,55.0,True,1544-1
1706,5504,1545,1,Basic,Basic,1992,Build-A-Rabbit,,27.0,True,1545-2
1707,401,1545,3,Miscellaneous,Gear,2002,Pen Alpha Team,,,False,
1708,24248,1546,1,Basic,Universal Building Set,1985,Aircraft,1.0,26.0,True,1546-1
1709,402,1546,2,Miscellaneous,Gear,2002,Pen Racers,,,True,1546-2
1710,403,1547,1,Historical,Castle,1993,Black Knights Boat,2.0,58.0,True,1547-1
1711,404,1548,1,Miscellaneous,Promotional,1991,Stena Line Ferry,,172.0,True,1548-1
1712,405,1548,2,Basic,Basic,1985,Helicopter,,36.0,True,1548-2
1713,406,1549,1,Basic,Basic,1992,Santa and Chimney,,62.0,True,1549-1
1715,22564,1550,2,Pre-school,Duplo,1985,Basic Set,,6.0,False,
1716,408,1551,1,Basic,Basic,1985,Duck,,6.0,True,1551-1
1718,410,1552,1,Modern day,Town,1985,Maersk Truck and Trailer Unit,1.0,352.0,True,1552-1
1720,411,1554,1,Miscellaneous,Promotional,1986,Silja Line Ferry,,176.0,True,1554-1
1721,412,1555,1,Basic,Basic,1986,Santa Claus,,19.0,True,1555-1
1723,22435,1556,1,Basic,Basic,1986,Christmas Hearts,,10.0,False,
1724,414,1557,1,Action/Adventure,Space,1986,Scooter,1.0,26.0,True,1557-1
1725,415,1558,1,Action/Adventure,Space,1986,Mobile Command Trailer,2.0,70.0,True,1558-1
1726,416,1559,1,Pre-school,Duplo,1990,Clown Car,1.0,4.0,True,1559-1
1727,419,1560,1,Modern day,Town,1990,Glory Glider,1.0,22.0,True,1560-1
1729,9403,1560,3,Basic,Basic,1985,Basic Building Set,,27.0,True,1560-3
1730,421,1561,1,Modern day,Town,1990,Stunt Chopper,1.0,31.0,True,1561-1
1732,423,1562,1,Modern day,Town,1990,Wave Jumper,1.0,25.0,True,1562-1
1733,22565,1562,2,Basic,Basic,1985,Basic Building Set,,32.0,True,1562-2
1735,424,1563,1,Modern day,Town,1990,Track Blaster,1.0,30.0,True,1563-1
1736,10091,1570,1,Junior,Fabuland,1986,Fabuland Character Polybag,1.0,4.0,True,1570-1
1737,426,1572,1,Modern day,Town,1986,Super Tow Truck,1.0,79.0,True,1572-1
1738,22430,1573,1,Basic,Basic,1987,Basic Building Set,1.0,,False,
1740,5921,1575,2,Basic,Basic,1987,Basic Set 5+ with Board Game,1.0,230.0,True,1575-2
1741,428,1576,1,Pre-school,Duplo,1994,Happy Face Carry Case,,30.0,False,
1742,6158,1577,1,Basic,Basic,1988,Basic Set 3+,1.0,216.0,True,1577-1
1743,429,1579,1,Pre-school,Duplo,1993,Animal Fun,,30.0,True,1579-1
1744,430,1580,1,Action/Adventure,Space,1986,Lunar Scout,1.0,72.0,True,1580-1
1746,432,1581,1,Miscellaneous,Promotional,1981,Silja Line Ferry,,182.0,True,1581-1
1747,5198,1581,2,Modern day,Town,1990,Arla Milk Delivery Truck,1.0,119.0,True,1581-2
1748,22483,1583,1,Pre-school,Duplo,1992,Clown Bucket,3.0,30.0,False,
1749,433,1584,1,Historical,Castle,1988,Knight's Challenge,8.0,132.0,True,1584-1
1750,22433,1585,1,Pre-school,Duplo,1987,Combi Pack,,,False,
1751,22431,1586,1,Basic,Basic,1987,Basic Set with Storage Case,,,False,
1752,22432,1587,1,Basic,Basic,1987,Basic Set with Storage Case,,,False,
1753,10230,1588,1,Basic,Basic,1987,Basic Building Set,,27.0,True,1588-1
1755,4922,1589,2,Modern day,Town,1986,"Breakdown Assistance, Touring Club Schweiz Edition",4.0,245.0,True,1589-2
1756,436,1590,2,Modern day,Town,1982,Breakdown Assistance,4.0,233.0,True,1590-2
1757,437,1591,1,Modern day,Town,1980,Danone Delivery Truck,,40.0,True,1591-1
1758,438,1591,2,Pre-school,Duplo,1991,Duplo Bucket,2.0,32.0,True,1591-2
1759,439,1592,1,Modern day,Town,1980,Town Square - Castle Scene,11.0,471.0,True,1592-1
1760,440,1593,1,Action/Adventure,Space,1983,Super Model Building Instructions,2.0,313.0,True,1593-1
1761,8418,1594,1,Pre-school,Duplo,1992,Rabbit and Bear Friend,,13.0,True,1594-1
1762,22489,1595,1,Pre-school,Duplo,1993,Girl with Cat,,17.0,False,
1763,441,1596,1,Historical,Castle,1993,Ghostly Hideout,2.0,37.0,True,1596-1
1764,442,1597,1,Historical,Castle,1993,Castle Value Pack,,117.0,True,1597-1
1765,443,1598,1,Basic,Basic,1987,Trial Size Offer,1.0,33.0,True,1598-1
1766,444,1599,1,Basic,Basic,1987,Airliner,,102.0,True,1599-1
1767,22544,1600,1,Pre-school,Duplo,1982,Pampers Gift Pack,1.0,5.0,True,1600-1
1769,446,1602,1,Basic,Basic,1987,Basic Set 3+,,16.0,True,1602-1
1770,8630,1603,1,Basic,Basic,1987,Basic Set 3+,,13.0,True,1603-1
1771,8628,1604,1,Basic,Basic,1987,Basic Set 3+,,17.0,True,1604-1
1772,8629,1605,1,Basic,Basic,1987,Basic Set 3+,,14.0,True,1605-1
1774,5497,1606,1,Basic,Basic,1987,Red and Yellow Car,,23.0,True,1606-1
1775,5498,1607,1,Basic,Basic,1987,Helicopter,,25.0,True,1607-1
1776,23531,1608,1,Basic,Universal Building Set,1987,Aeroplane,,24.0,True,1608-1
1777,447,1609,1,Basic,Basic,1987,Ship,,27.0,True,1609-1
1778,449,1610,1,Modern day,Town,1991,Police Car,,23.0,True,1610-1
1781,450,1611,1,Modern day,Town,1991,Red Race Car,,21.0,True,1611-1
1783,452,1612,1,Modern day,Town,1988,Victory Racer,1.0,25.0,True,1612-1
1784,6883,1613,1,Basic,Basic,1987,"Basic Set, 3+",2.0,359.0,True,1613-1
1785,453,1614,1,Pre-school,Duplo,1993,Build-A-Farm,2.0,23.0,False,
1786,22434,1615,1,Basic,Basic,1987,Basic Set,1.0,382.0,True,1615-1
1787,454,1616,1,Action/Adventure,Space,1989,Special Two-Set Space Pack,,132.0,True,1616-1
1788,455,1617,1,Basic,Basic,1988,Small Bucket,1.0,149.0,True,1617-1
1789,22436,1618,1,Pre-school,Duplo,1986,Storage Container,3.0,47.0,False,
1790,8641,1619,1,Basic,Basic,1986,Storage Container,4.0,260.0,False,
1791,458,1620,1,Action/Adventure,Space,1989,Astro Dart,1.0,30.0,True,1620-1
1793,459,1621,1,Action/Adventure,Space,1989,Lunar MPV Vehicle,2.0,102.0,True,1621-1
1794,29394,1623,1,Pre-school,Duplo,1988,Small Bucket,,43.0,False,
1795,460,1624,1,Historical,Castle,1993,King's Archer,1.0,22.0,True,1624-1
1796,461,1625,1,Basic,Basic,1989,Snowman,,40.0,True,1625-1
1797,462,1626,1,Basic,Basic,1989,Angel,,33.0,True,1626-1
1798,463,1627,1,Basic,Basic,1989,Santa,,36.0,True,1627-1
1799,464,1628,1,Basic,Basic,1989,Santa with Reindeer and Sleigh,,63.0,True,1628-1
